user_id,age_phone,gender_phone,location,phone_brand,os_phone,screen_time_hours,data_usage_gb_month_phone,calls_duration_mins,apps_installed_phone,social_media_hours,ecom_spend_inr,streaming_hours,gaming_hours,recharge_inr,primary_use,device_model,os_behavior,app_usage_mins,screen_on_hours,battery_drain_mah,apps_installed_behavior,data_usage_mb_day,age_behavior,gender_behavior,behavior_class,data_usage_gb_month_behavior,cred,amazon,flipkart,meesho,jar,paytm,upi_txn,upi_amt,ecom_orders,ecom_amt,avg_order_value,short_video_hours,ott_hours,loan_apps,emi_count,digital_gold_sip,prime_sub,fintech_score,ecommerce_score,payments_score,entertainment_score,premium_flag
U00001,53.0,Male,Mumbai,Vivo,Android,3.7,23.9,37.9,104.0,3.9,469.0,5.2,4.1,803.0,Education,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.1,0
U00002,60.0,Other,Delhi,Realme,Android,9.2,28.1,13.7,169.0,2.8,4997.0,5.1,0.4,1526.0,Gaming,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.4,0
U00003,37.0,Female,Ahmedabad,Nokia,Android,4.5,12.3,66.8,96.0,3.0,2381.0,1.7,2.9,1619.0,Entertainment,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.9,0
U00004,32.0,Male,Pune,Samsung,Android,11.0,25.6,156.2,146.0,5.2,1185.0,3.2,0.3,1560.0,Entertainment,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3,0
U00005,16.0,Male,Mumbai,Xiaomi,Android,2.2,2.5,236.2,86.0,5.5,106.0,3.4,2.3,742.0,Social Media,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.3,0
U00006,21.0,Male,Jaipur,Oppo,Android,5.4,10.6,210.6,25.0,4.2,6285.0,0.6,4.8,1749.0,Entertainment,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.8,0
U00007,57.0,Female,Lucknow,Apple,iOS,6.0,35.2,154.5,123.0,0.8,2653.0,2.9,2.3,1073.0,Social Media,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.3,0
U00008,56.0,Other,Kolkata,Realme,Android,3.1,43.5,125.3,188.0,2.3,9767.0,5.2,5.0,1136.0,Entertainment,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,0
U00009,46.0,Female,Kolkata,Oppo,Android,5.3,46.4,21.3,194.0,3.7,2870.0,6.1,2.8,1253.0,Entertainment,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.8,0
U00010,44.0,Other,Kolkata,Apple,iOS,9.9,10.6,180.2,84.0,4.8,9193.0,7.6,0.4,168.0,Education,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.4,0
U00011,55.0,Other,Lucknow,Nokia,Android,1.6,23.7,192.0,27.0,3.1,9330.0,1.2,2.3,1098.0,Work,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.3,0
U00012,41.0,Female,Delhi,Oppo,Android,7.5,23.5,84.9,187.0,0.9,643.0,3.5,2.7,151.0,Social Media,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.7,0
U00013,53.0,Male,Bangalore,Realme,Android,10.5,1.4,33.7,137.0,4.5,7854.0,7.2,1.4,240.0,Education,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.4,0
U00014,35.0,Male,Jaipur,Realme,Android,10.3,32.4,247.1,124.0,5.2,3347.0,3.8,4.5,972.0,Social Media,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.5,0
U00015,33.0,Female,Jaipur,Samsung,Android,1.7,33.2,208.8,121.0,3.0,3185.0,4.2,0.5,1046.0,Entertainment,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5,0
U00016,52.0,Male,Bangalore,Google Pixel,Android,5.1,28.5,169.2,161.0,4.6,6175.0,4.4,4.3,1769.0,Work,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.3,0
U00017,46.0,Other,Mumbai,Apple,iOS,3.1,23.6,153.9,183.0,2.5,6242.0,6.2,0.4,1679.0,Education,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.4,0
U00018,54.0,Male,Kolkata,Apple,iOS,11.6,12.6,210.4,62.0,4.9,4642.0,0.9,4.1,1360.0,Entertainment,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.1,0
U00019,50.0,Female,Chennai,Google Pixel,Android,5.3,5.2,235.6,188.0,4.6,1120.0,1.0,0.8,1639.0,Work,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.8,0
U00020,40.0,Other,Hyderabad,Motorola,Android,9.0,38.9,289.6,62.0,2.4,8012.0,7.7,2.0,1224.0,Work,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0
U00021,60.0,Male,Pune,Samsung,Android,10.4,46.0,38.0,110.0,3.0,511.0,6.8,1.3,311.0,Social Media,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.3,0
U00022,59.0,Other,Pune,Xiaomi,Android,11.7,9.1,203.9,101.0,5.8,2579.0,2.6,4.1,446.0,Gaming,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.1,0
U00023,46.0,Other,Chennai,Samsung,Android,8.1,15.5,206.8,77.0,5.9,1776.0,3.4,2.5,899.0,Social Media,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.5,0
U00024,16.0,Female,Hyderabad,Vivo,Android,1.4,25.5,222.0,141.0,1.6,1119.0,2.8,0.4,1118.0,Gaming,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.4,0
U00025,29.0,Female,Bangalore,Realme,Android,7.0,41.7,51.0,130.0,1.4,2604.0,3.5,1.6,1154.0,Education,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.6,0
U00026,36.0,Male,Hyderabad,Vivo,Android,5.6,47.4,155.4,123.0,5.9,1886.0,2.3,3.0,955.0,Work,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0
U00027,15.0,Male,Delhi,Vivo,Android,9.2,42.7,230.9,180.0,0.5,4611.0,1.0,2.5,210.0,Gaming,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.5,0
U00028,41.0,Other,Jaipur,Realme,Android,8.1,44.1,81.8,25.0,1.9,5545.0,5.7,3.7,1488.0,Education,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.7,0
U00029,51.0,Female,Kolkata,Vivo,Android,10.7,45.1,94.0,127.0,3.5,2293.0,6.7,5.0,333.0,Education,,Android,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,0
