user_id,cred,indmoney,jupiter,amazon_prime,apple_music,flipkart,meesho,jar,phonepe,groww,ludo_king,moj,sharechat,kreditbee,cashbean,tier_label
U0001,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,Tier2
U0002,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,Tier3
U0003,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,Tier3
U0004,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,Tier2
U0005,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,Tier1
U0006,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,Tier1
U0007,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,Tier1
U0008,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,Tier3
U0009,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,Tier2
U0010,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,Tier3
U0011,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,Tier1
U0012,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,Tier3
U0013,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,Tier3
U0014,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,Tier1
U0015,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,Tier1
U0016,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,Tier1
U0017,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,Tier2
U0018,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,Tier2
U0019,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,Tier2
U0020,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,Tier1
U0021,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,Tier2
U0022,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,Tier1
U0023,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,Tier1
U0024,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,Tier2
U0025,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,Tier2
U0026,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Tier3
U0027,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,Tier1
U0028,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,Tier2
U0029,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,Tier2
U0030,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,Tier1
U0031,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,Tier2
U0032,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,Tier1
U0033,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,Tier1
U0034,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,Tier3
U0035,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Tier3
U0036,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,Tier3
U0037,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Tier2
U0038,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Tier1
U0039,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,Tier2
U0040,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,Tier2
U0041,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,Tier1
U0042,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,Tier2
U0043,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,Tier1
U0044,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,Tier3
U0045,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,Tier1
U0046,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,Tier2
U0047,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,Tier2
U0048,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,Tier2
U0049,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,Tier2
U0050,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,Tier1
U0051,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,Tier3
U0052,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,Tier3
